kanji,jlpt,onyomi,kunyomi,meanings
善,N1,zen ゼン,"yo(i)
i(i)
yoshi(tosuru) よ(い)
い(い)
よし(とする)","virtuous, good, goodness"
逮,N1,tai タイ,,"apprehend, chase"
迫,N1,haku ハク,sema(aru) せま(る),"urge, force, imminent, spur on"
惑,N1,waku ワク,mado(u) まど(う),"beguile, delusion, perplexity"
崩,N1,hou ホウ,"kuzu(reru)
-kuzu(re) くず(れる)
-くず(れ)","crumble, die, demolish, level"
紀,N1,ki キ,,"chronicle, account, narrative, history, annals, geologic period"
聴,N1,"chou
tei チョウ
テイ","ki(ku)
yuru(su) き(く)
ゆる(す)","listen, headstrong, naughty, careful inquiry"
脱,N1,datsu ダツ,nu(gu) ぬ(ぐ),"undress, removing, escape from, get rid of, be left out, take off"
級,N1,kyuu キュウ,,"class, rank, grade"
博,N1,"haku
baku ハク
バク",,"Dr., command, esteem, Ph.D."
締,N1,tei テイ,"shi(maru)
-shi(me)
-ji(me) し(まる)
-し(め)
-じ(め)","tighten, tie, shut, lock, fasten"
救,N1,kyuu キュウ,suku(u) すく(う),"salvation, save, help, rescue, reclaim"
執,N1,"shitsu
shuu シツ
シュウ",to(ru) と(る),"tenacious, take hold, grasp, take to heart"
房,N1,bou ボウ,fusa ふさ,"tassel, tuft, fringe, bunch, lock (hair), segment (orange), house, room"
撤,N1,tetsu テツ,,"remove, withdraw, disarm, dismantle, reject, exclude"
削,N1,saku サク,"kezu(ru)
hatsu(ru)
so(gu) けず(る)
はつ(る)
そ(ぐ)","plane, sharpen, whittle, pare, shave"
密,N1,mitsu ミツ,hiso(ka) ひそ(か),"secrecy, density (pop), minuteness, carefulness"
措,N1,so ソ,o(ku) お(く),"set aside, give up, suspend, discontinue, lay aside, except"
志,N1,shi シ,"kokoroza(su)
kokorozashi こころざ(す)
こころざし","intention, plan, resolve, aspire, motive, hopes, shilling"
載,N1,sai サイ,no(seru) の(せる),"ride, board, get on, place, spread, 10**44, record, publish"
陣,N1,jin ジン,,"camp, battle array, ranks, position, sudden, brief time"
我,N1,ga ガ,"ware
wa
wa(ga)-
waga- われ
わ
わ(が)-
わが-","ego, I, selfish, our, oneself"
為,N1,i イ,"tame
na(ru)
su(ru)
tari
tsuku(ru)
nari ため
な(る)
す(る)
たり
つく(る)
なり","do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good"
抑,N1,yoku ヨク,osa(eru) おさ(える),"repress, well, now, in the first place, push, shove, press, seal, do in spite of"
幕,N1,"maku
baku マク
バク",tobari とばり,"curtain, bunting, act of play"
染,N1,sen セン,"so(meru)
shi(meru) そ(める)
し(みる)","dye, color, paint, stain, print"
奈,N1,"na
nai
dai ナ
ナイ
ダイ","ikan
karanashi いかん
からなし","Nara, what?"
傷,N1,shou ショウ,"kizu
ita(mu) きず
いた(む)","wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point"
択,N1,taku タク,era(bu) えら(ぶ),"choose, select, elect, prefer"
秀,N1,shuu シュウ,hii(deru) ひい(でる),"excel, excellence, beauty, surpass"
徴,N1,"chou
chi チョウ
チ",shirushi しるし,"indications, sign, omen, symptom, collect, seek, refer to, question"
弾,N1,"dan
tan ダン
タン","hi(ku)
-hi(ki)
hazu(mu)
tama
haji(ku) ひ(く)
-ひ(き)
はず(む)
たま
はじ(く)","bullet, twang, flip, snap"
償,N1,shou ショウ,tsuguna(u) つぐな(う),"reparation, make up for, recompense, redeem"
功,N1,"kou
ko コウ
ク",isao いさお,"achievement, merits, success, honor, credit"
拠,N1,"kyo
ko キョ
コ",yo(ru) よ(る),"foothold, based on, follow, therefore"
秘,N1,hi ヒ,"hi(meru)
hiso(ka)
kaku(su) ひ(める)
ひそ(か)
かく(す)","secret, conceal"
拒,N1,"kyo
go キョ
ゴ",koba(mu) こば(む),"repel, refuse, reject, decline"
刑,N1,kei ケイ,,"punish, penalty, sentence, punishment"
塚,N1,chou チョウ,"tsuka
-dzuka つか
-づか","hillock, mound"
致,N1,chi チ,ita(su) いた(す),"doth, do, send, forward, cause, exert, incur, engage"
繰,N1,sou ソウ,ku(ru) く(る),"winding, reel, spin, turn (pages), look up, refer to"
尾,N1,bi ビ,o お,"tail, end, counter for fish, lower slope of mountain"
描,N1,byou ビョウ,"ega(ku)
ka(ku) えが(く)
か(く)","sketch, compose, write, draw, paint"
鈴,N1,"rei
rin レイ
リン",suzu すず,"small bell, buzzer"
盤,N1,ban バン,,"tray, shallow bowl, platter, tub, board, phonograph record"
項,N1,kou コウ,unaji うなじ,"paragraph, nape of neck, clause, item, term (expression)"
喪,N1,sou ソウ,mo も,"miss, mourning"
伴,N1,"han
ban ハン
バン",tomona(u) ともな(う),"consort, accompany, bring with, companion"
養,N1,"you
ryou ヨウ
リョウ",yashina(u) やしな(う),"foster, bring up, rear, develop, nurture"
懸,N1,"ken
ke ケン
ケ",ka(keru) か(ける),"state of suspension, hang, depend, consult, distant, far apart"
街,N1,"gai
kai ガイ
カイ",machi まち,"boulevard, street, town"
契,N1,kei ケイ,chigi(ru) ちぎ(る),"pledge, promise, vow"
掲,N1,kei ケイ,kaka(geru) かか(げる),"put up (a notice), put up, hoist, display, hang out, publish, describe"
躍,N1,yaku ヤク,odo(ru) おど(る),"leap, dance, skip"
棄,N1,ki キ,su(teru) す(てる),"abandon, throw away, discard, resign, reject, sacrifice"
邸,N1,tei テイ,yashiki やしき,"residence, mansion"
縮,N1,shuku シュク,chidji(mu) ちぢ(む),"shrink, contract, shrivel, wrinkle, reduce"
還,N1,kan カン,kae(ru) かえ(る),"send back, return"
属,N1,"zoku
shoku ゾク
ショク","sakan
tsuku
yakara さかん
つく
やから","belong, genus, subordinate official, affiliated"
慮,N1,ryo リョ,omonpaku(ru) おもんぱく(る),"prudence, thought, concern, consider, deliberate, fear"
枠,N1,,waku わく,"frame, framework, spindle, spool, bounding-box"
恵,N1,"kei
e ケイ
エ",megu(mu) めぐ(む),"favor, blessing, grace, kindness"
露,N1,"ro
rou ロ
ロウ",tsuyu つゆ,"dew, tears, expose, Russia"
沖,N1,chuu チュウ,"oki
okitsu
chuu(suru)
waku おき
おきつ
ちゅう(する)
わく","open sea, offing, rise high into sky"
緩,N1,kan カン,yuru(i) ゆる(い),"slacken, loosen, relax, lessen, be moderate, ease"
