kanji,jlpt,onyomi,kunyomi,meanings
翫,N1,gan ガン,moteaso(bu) もてあそ(ぶ),"take pleasure in, play instrument"
嶽,N1,gaku ガク,take たけ,peak
尭,N1,gyou ギョウ,taka(i) たか(い),"high, far"
怨,N1,"en
on
un エン
オン
ウン",ura(mu) うら(む),"grudge, show resentment, be jealous"
卿,N1,"kei
kyou ケイ
キョウ",kimi きみ,"you, lord, secretary, state minister"
串,N1,"kan
ken
sen カン
ケン
セン","kushi
tsuranu(ku) くし
つらぬ(く)","spit, skewer"
已,N1,i イ,"ya(mu)
sude(ni)
nomi
hanahada や(む)
すで(に)
のみ
はなはだ","stop, halt, previously, already, long ago"
嚇,N1,kaku カク,odo(su) おど(す),"menacing, dignity, majesty, threaten"
巳,N1,shi シ,mi み,"sign of the snake or serpent, 9-11AM, sixth sign of Chinese zodiac"
凸,N1,totsu トツ,deko でこ,"convex, beetle brow, uneven"
暢,N1,chou チョウ,nobi(ru) のび(る),stretch
腫,N1,"shu
shou シュ
ショウ","ha(reru)
ha(re)
ha(rasu)
haremono は(れる)
は(れ)
は(らす)
はれもの","tumor, swelling"
粟,N1,"zoku
shoku
soku ゾク
ショク
ソク","awa
momi あわ
もみ",millet
燕,N1,en エン,"tsubame
tsubakura
tsubakuro つばめ
つばくら
つばくろ",swallow (bird)
韻,N1,in イン,,"rhyme, elegance, tone"
綴,N1,"tei
tetsu
techi
getsu テイ
テツ
テチ
ゲツ","to(jiru)
tsudzu(ru)
tsudzuri
sumi(yaka) と(じる)
つづ(る)
つづり
すみ(やか)","compose, spell, write, bind (books)"
埴,N1,shoku ショク,"hani
hena はに
へな",clay
霜,N1,sou ソウ,shimo しも,frost
餅,N1,"hei
hyou ヘイ
ヒョウ","mochi
mochii もち
もちい",mochi rice cake
魯,N1,ro ロ,oroka おろか,"foolish, Russia"
硝,N1,shou ショウ,,"nitrate, saltpeter"
牡,N1,"bo
bou ボ
ボウ","osu
o-
on- おす
お-
おん-",male
箸,N1,"cho
chaku チョ
チャク",hashi はし,chopsticks
勅,N1,choku チョク,"imashi(meru)
mikotonori いまし(める)
みことのり",imperial order
芹,N1,kin キン,seri せり,parsley
杏,N1,"kyou
an
kou キョウ
アン
コウ",anzu あんず,apricot
迦,N1,"ka
ke カ
ケ",,(used phonetically)
棺,N1,kan カン,,"coffin, casket"
儒,N1,ju ジュ,,Confucian
鳳,N1,"hou
fuu ホウ
フウ",,male mythical bird
馨,N1,"kei
kyou ケイ
キョウ","kao(ru)
kaori かお(る)
かおり","fragrant, balmy, favourable"
斑,N1,han ハン,"fu
madara ふ
まだら","spot, blemish, speck, patches"
蔭,N1,"in
on イン
オン",kage かげ,"shade, shadow, backing assistance"
焉,N1,en エン,"izuku(nzo)
kokoni
kore いずく(んぞ)
ここに
これ","how, why, then"
慧,N1,"kei
e ケイ
エ",satoi さとい,wise
祇,N1,"gi
ki
shi ギ
キ
シ","kunitsukami
tada
masani くにつかみ
ただ
まさに","national or local god, peaceful, great"
摯,N1,shi シ,"ita(ru)
tsuka(mu)
nie いた(る)
つか(む)
にえ","gift, seriousness"
愁,N1,shuu シュウ,"ure(eru)
ure(i) うれ(える)
うれ(い)","distress, grieve, lament, be anxious"
鷺,N1,ro ロ,sagi さぎ,heron
楼,N1,rou ロウ,takadono たかどの,"watchtower, lookout, high building"
彬,N1,"hin
fun ヒン
フン","uruwa(shii)
aki(raka) うるわ(しい)
あき(らか)","refined, gentle"
袴,N1,"ko
ku コ
ク","hakama
zubon はかま
ずぼん",men's formal divided skirt
匡,N1,"kyou
ou キョウ
オウ","suku(u)
tada(su) すく(う)
ただ(す)","correct, save, assist"
眉,N1,"bi
mi ビ
ミ",mayu まゆ,eyebrow
苅,N1,"gai
kai ガイ
カイ",ka(ru) か(る),cutting (grass)
讃,N1,san サン,"ho(meru)
tata(eru) ほ(める)
たた(える)","praise, title on a picture"
尹,N1,in イン,"osa
tada(su) おさ
ただ(す)",an official rank
欽,N1,"kin
kon キン
コン",tsutsushi(mu) つつし(む),"respect, revere, long for"
薪,N1,shin シン,"takigi
maki たきぎ
まき","fuel, firewood, kindling"
湛,N1,"tan
chin
jin
sen タン
チン
ジン
セン","shizu(mu)
tata(eru) しず(む)
たた(える)","fill, wear (a smile), clear, pure, dense, deep"
堆,N1,"tai
tsui タイ
ツイ",uzutaka(i) うずたか(い),piled high
狐,N1,ko コ,kitsune きつね,fox
褐,N1,katsu カツ,,"brown, woollen kimono"
鴎,N1,ou オウ,kamome かもめ,seagull
瀋,N1,shin シン,,"juice, broth"
挺,N1,"chou
tei チョウ
テイ",nu(ku) ぬ(く),"bravely volunteer, counter for guns, inksticks, palanquins"
賜,N1,shi シ,"tamawa(ru)
tama(u)
tamo(u) たまわ(る)
たま(う)
たも(う)","grant, gift, boon, results"
嵯,N1,"sa
shi サ
シ",,"steep, craggy, rugged"
雁,N1,gan ガン,"kari
karigane かり
かりがね",wild goose
佃,N1,"ten
den テン
デン",tsukuda つくだ,cultivated rice field
綜,N1,sou ソウ,"osa(meru)
su(beru) おさ(める)
す(べる)","rule, synthesize"
繕,N1,zen ゼン,tsukuro(u) つくろ(う),"darning, repair, mend, trim, tidy up, adjust"
狛,N1,haku ハク,koma こま,"archaic part of Korea, lion-dog shrine guards"
壷,N1,ko コ,tsubo つぼ,"jar, pot, hinge knuckle, one's aim"
橿,N1,kyou キョウ,"kashi
mochinoki かし
もちのき",oak
栓,N1,sen セン,,"plug, bolt, cork, bung, stopper"
翠,N1,sui スイ,"kawasemi
midori かわせみ
みどり","green, kingfisher"
鮎,N1,"den
nen デン
ネン","ayu
namazu あゆ
なまず","freshwater trout, smelt"
芯,N1,shin シン,,wick
蜜,N1,"mitsu
bitsu ミツ
ビツ",,"honey, nectar, molasses"
播,N1,"ha
ban
han ハ
バン
ハン",ma(ku) ま(く),"plant, sow"
榛,N1,"shin
han シン
ハン","hashibami
hari はしばみ
はり","hazelnut, filbert"
凹,N1,ou オウ,"kubo(mu)
heko(mu)
boko くぼ(む)
へこ(む)
ぼこ","concave, hollow, sunken"
艶,N1,en エン,"tsuya
nama(mekashii)
ade(yaka)
tsuya(meku) つや
なま(めかしい)
あで(やか)
つや(めく)","glossy, luster, glaze, polish, charm, colorful, captivating"
帖,N1,"chou
jou チョウ
ジョウ",kakimono かきもの,"quire (of paper), bundle of seaweed, counter for screens, notebook"
桶,N1,"you
tou ヨウ
トウ",oke おけ,"tub, bucket"
惣,N1,sou ソウ,sube(te) すべ(て),all
股,N1,ko コ,"mata
momo また
もも","thigh, crotch"
匂,N1,,"nio(u)
nio(i)
nio(waseru) にお(う)
にお(い)
にお(わせる)","fragrant, stink, glow, insinuate, (kokuji)"
鞍,N1,an アン,kura くら,saddle
蔦,N1,chou チョウ,tsuta つた,"vine, ivy"
玩,N1,gan ガン,"mochiaso(bu)
moteaso(bu) もちあそ(ぶ)
もてあそ(ぶ)","play, take pleasure in, trifle with, make sport of"
萱,N1,ken ケン,"kaya
kanzou かや
かんぞう",miscanthus reed
梯,N1,"tei
tai テイ
タイ",hashigo はしご,"ladder, stairs, insatiable drinking"
雫,N1,da ダ,shizuku しずく,"drop, trickle, dripping, (kokuji)"
絆,N1,han ハン,"kizuna
hoda(su)
tsuna(gu) きずな
ほだ(す)
つな(ぐ)","bonds, fetters"
錬,N1,ren レン,ne(ru) ね(る),"tempering, refine, drill, train, polish"
湊,N1,sou ソウ,"minato
atsu(maru) みなと
あつ(まる)","port, harbor"
蜂,N1,hou ホウ,hachi はち,"bee, wasp, hornet"
隼,N1,"shun
jun シュン
ジュン",hayabusa はやぶさ,falcon
舵,N1,"da
ta ダ
タ",kaji かじ,"rudder, helm, wheel"
渚,N1,sho ショ,nagisa なぎさ,"strand, beach, shore"
珂,N1,ka カ,,jewel
煥,N1,kan カン,akiraka あきらか,shine
衷,N1,chuu チュウ,,"inmost, heart, mind, inside"
逐,N1,chiku チク,,"pursue, drive away, chase, accomplish, attain, commit"
斥,N1,seki セキ,shirizo(keru) しりぞ(ける),"reject, retreat, recede, withdraw, repel, repulse"
稀,N1,"ki
ke キ
ケ","mare
mabara まれ
まばら","rare, phenomenal, dilute (acid)"
癌,N1,gan ガン,,"cancer, cancerous evil"
峨,N1,ga ガ,kewa(shii) けわ(しい),high mountain
嘘,N1,"kyo
ko キョ
コ","uso
fu(ku) うそ
ふ(く)","lie, falsehood"
旛,N1,"hen
han ヘン
ハン",hata はた,flag
篭,N1,"rou
ru ロウ
ル","kago
ko(meru)
komo(ru)
ko(mu) かご
こ(める)
こも(る)
こ(む)","seclude oneself, cage, coop, implied"
芙,N1,fu フ,,"lotus, Mt Fuji"
詔,N1,shou ショウ,mikotonori みことのり,imperial edict
皐,N1,kou コウ,satsuki さつき,"swamp, shore, fifth month"
雛,N1,"suu
su
ju スウ
ス
ジュ","hina
hiyoko ひな
ひよこ","chick, squab, duckling, doll"
娼,N1,shou ショウ,asobime あそびめ,prostitute
篆,N1,ten テン,,seal-style characters
鮫,N1,kou コウ,"same
mizuchi さめ
みずち",shark
椅,N1,i イ,,chair
惟,N1,"i
yui イ
ユイ","omo(nmiru)
kore
omo(uni) おも(んみる)
これ
おも(うに)","consider, reflect, think"
牌,N1,hai ハイ,"pai
fuda ぱい
ふだ","label, signboard, medal, mahjong tiles"
宕,N1,tou トウ,sugiru すぎる,cave
喧,N1,ken ケン,"yakama(shii)
kamabisu(shii) やかま(しい)
かまびす(しい)","noisy, boisterous"
佑,N1,"yuu
u ユウ
ウ",tasu(keru) たす(ける),"help, assist"
蒋,N1,"shou
sou ショウ
ソウ","makomo
hage(masu) まこも
はげ(ます)",reed
樟,N1,shou ショウ,kusu くす,camphor
耀,N1,you ヨウ,"kagaya(ku)
hikari かがや(く)
ひかり","shine, sparkle, gleam, twinkle"
黛,N1,tai タイ,mayuzumi まゆずみ,blackened eyebrows
叱,N1,"shitsu
shichi
ka シツ
シチ
カ",shika(ru) しか(る),"scold, reprove"
櫛,N1,shitsu シツ,"kushi
kushikezu(ru) くし
くしけず(る)",comb
渥,N1,aku アク,"atsu(i)
uruo(u) あつ(い)
うるお(う)","kindness, moisten"
挨,N1,ai アイ,hira(ku) ひら(く),"approach, draw near, push open"
憧,N1,"shou
tou
dou ショウ
トウ
ドウ",akoga(reru) あこが(れる),"yearn after, long for, aspire to, admire, adore"
濡,N1,"ju
nyu ジュ
ニュ","nure(ru)
uruo(i) ぬれ(る)
うるお(い)","get wet, damp, make love"
槍,N1,"sou
shou ソウ
ショウ",yari やり,"spear, lance, javelin"
宵,N1,shou ショウ,yoi よい,"wee hours, evening, early night"
襄,N1,"jou
shou ジョウ
ショウ",hara(u) はら(う),"rise, raise"
妄,N1,"mou
bou モウ
ボウ",mida(rini) みだ(りに),"delusion, unnecessarily, without authority, reckless"
惇,N1,"shun
jun
ton シュン
ジュン
トン",atsu(i) あつ(い),"sincere, kind, considerate"
蛋,N1,tan タン,,"barbarian, egg"
脩,N1,shuu シュウ,"osa(meru)
naga(i)
hojishi おさ(める)
なが(い)
ほじし",dried meat
笘,N1,"sen
chou セン
チョウ",,"whip, cane, wooden writing slate"
宍,N1,"niku
jiku ニク
ジク",shishi しし,"muscles, meat"
甫,N1,"ho
fu ホ
フ",haji(mete) はじ(めて),"for the first time, not until"
酌,N1,shaku シャク,ku(mu) く(む),"bar-tending, serving sake, the host, draw (water), ladle, scoop, pump"
蚕,N1,"san
ten サン
テン","kaiko
ko かいこ
こ",silkworm
壕,N1,"kou
gou コウ
ゴウ",hori ほり,"trench, dugout, air raid shelter"
嬉,N1,ki キ,"ure(shii)
tano(shimu) うれ(しい)
たの(しむ)","glad, pleased, rejoice"
囃,N1,"satsu
sou サツ
ソウ","haya(su)
hayashi はや(す)
はやし","play (music), accompany, beat time, banter, jeer, applaud"
蒼,N1,sou ソウ,ao(i) あお(い),"blue, pale"
餌,N1,"ji
ni ジ
ニ","e
eba
esa
mochi え
えば
えさ
もち","food, bait, prey, tempting profit"
簗,N1,ryou リョウ,yana やな,"weir, fish trap, (kokuji)"
峙,N1,ji ジ,sobada(tsu) そばだ(つ),"tower, soar"
粥,N1,"iku
shuku
juku イク
シュク
ジュク","kayu
kai
hisa(gu) かゆ
かい
ひさ(ぐ)",rice gruel
舘,N1,kan カン,"yakata
tate やかた
たて","mansion, large building, palace"
銕,N1,tetsu テツ,kurogane くろがね,"iron, strong, solid, firm"
鄒,N1,"suu
shu
shuu スウ
シュ
シュウ",,place name
蜷,N1,ken ケン,nina にな,an edible river snail
暉,N1,ki キ,kaga(yaku) かが(やく),"shine, light"
捧,N1,hou ホウ,sasa(geru) ささ(げる),"lift up, give, offer, consecrate, sacrifice, dedicate"
頒,N1,han ハン,"wa(katsu)
wa(keru) わ(かつ)
わ(ける)","distribute, disseminate, partition, understand"
只,N1,shi シ,tada ただ,"only, free, in addition"
肢,N1,shi シ,,"limb, arms & legs"
箏,N1,"sou
shou ソウ
ショウ",koto こと,a koto
檀,N1,"dan
tan ダン
タン",mayumi まゆみ,"cedar, sandalwood, spindle tree"
鵠,N1,"koku
kou コク
コウ","kugui
mato くぐい
まと",swan
凱,N1,"gai
kai ガイ
カイ","kachidoki
yawaragu かちどき
やわらぐ",victory song
彗,N1,"sui
e
kei
sei スイ
エ
ケイ
セイ",houki ほうき,comet
謄,N1,tou トウ,,"mimeograph, copy"
諌,N1,kan カン,isa(me) いさ(め),"admonish, dissuade"
樫,N1,,kashi かし,"evergreen oak, (kokuji)"
噂,N1,son ソン,uwasa うわさ,"rumor, gossip, hearsay"
脊,N1,seki セキ,"se
sei せ
せい","stature, height, spine"
牝,N1,hin ヒン,"mesu
me-
men めす
め-
めん",female
梓,N1,shi シ,azusa あずさ,"catalpa tree, woodblock printing"
洛,N1,raku ラク,,"Kyoto, the capital"
醍,N1,"dai
tai
tei ダイ
タイ
テイ",,"whey, good Buddhist teaching"
砦,N1,sai サイ,toride とりで,"fort, stronghold, entrenchments"
丑,N1,chuu チュウ,ushi うし,"sign of the ox or cow, 1-3AM, second sign of Chinese zodiac"
笏,N1,kotsu コツ,shaku しゃく,"mace, baton, scepter"
蕨,N1,ketsu ケツ,warabi わらび,"bracken, fernbrake"
噺,N1,,hanashi はなし,"talk, (kokuji)"
抒,N1,"jo
sho ジョ
ショ","ku(mu)
no(beru) く(む)
の(べる)","tell, 10**24"
嗣,N1,shi シ,,"heir, succeed"
隈,N1,"wai
e ワイ
エ","kuma
sumi くま
すみ","corner, nook, recess"
叶,N1,kyou キョウ,"kana(eru)
kana(u) かな(える)
かな(う)","grant, answer"
凄,N1,"sei
sai セイ
サイ","samu(i)
sugo(i)
susa(majii) さむ(い)
すご(い)
すさ(まじい)","uncanny, weird, threatening, horrible"
汐,N1,seki セキ,"shio
ushio
sei しお
うしお
せい","eventide, tide, salt water, opportunity"
絢,N1,ken ケン,,brilliant fabric design
叩,N1,kou コウ,"tata(ku)
hata(ku)
sugi たた(く)
はた(く)
すぎ","strike, beat, kow tow, hit, thrash, criticize"
嫉,N1,shitsu シツ,"sone(mu)
neta(mu)
niku(mu) そね(む)
ねた(む)
にく(む)","jealous, envy"
朔,N1,saku サク,tsuitachi ついたち,"conjunction (astronomy), first day of month, north"
蔡,N1,sai サイ,,type of tortoise used for divination
膝,N1,shitsu シツ,hiza ひざ,"knee, lap"
鍾,N1,"shou
shu ショウ
シュ","atsu(meru)
sakazuki
kane あつ(める)
さかずき
かね","spindle, gather, collect"
仇,N1,"kyuu
gu キュウ
グ","ada
ata
kataki
tsureai あだ
あた
かたき
つれあい","foe, enemy, revenge, grudge, feud"
伽,N1,"ka
ga
kya
gya カ
ガ
キャ
ギャ",togi とぎ,"nursing, attending, entertainer"
夷,N1,i イ,"ebisu
emishi
koro(su)
tai(rageru) えびす
えみし
ころ(す)
たい(らげる)","barbarian, savage, Ainu"
恣,N1,shi シ,hoshiimama ほしいまま,"selfish, arbitrary"
瞑,N1,"mei
ben
myou
min
men メイ
ベン
ミョウ
ミン
メン","mei(suru)
tsubu(ru)
tsumu(ru)
kura(i) めい(する)
つぶ(る)
つむ(る)
くら(い)","sleep, dark, close eyes"
畝,N1,"bou
ho
mo
mu ボウ
ホ
モ
ム","se
une せ
うね","furrow, thirty tsubo, ridge, rib"
抄,N1,shou ショウ,,"extract, selection, summary, copy, spread thin"
杭,N1,kou コウ,kui くい,"stake, post, picket"
寓,N1,"guu
gu
dou グウ
グ
ドウ","guu(suru)
kakotsu(keru)
yo(ru)
karizumai ぐう(する)
かこつ(ける)
よ(る)
かりずまい","temporary abode, imply, suggest"
麺,N1,"men
ben メン
ベン",mugiko むぎこ,"noodles, wheat flour"
戴,N1,tai タイ,itada(ku) いただ(く),"be crowned with, live under (a ruler), receive"
爽,N1,sou ソウ,"aki(raka)
sawa(yaka)
tagau あき(らか)
さわ(やか)
たがう","refreshing, bracing, resonant, sweet, clear"
裾,N1,"kyo
ko キョ
コ",suso すそ,"cuff, hem, foot of mountain"
黎,N1,"rei
ri レイ
リ",kuro(i) くろ(い),"dark, black, many"
惰,N1,da ダ,,"lazy, laziness"
坐,N1,"za
sa ザ
サ","suwa(ru)
owasu
sozoroni
mashimasu すわ(る)
おわす
そぞろに
まします",sit
鍼,N1,shin シン,"hari
sa(su) はり
さ(す)",needle
蛮,N1,ban バン,ebisu えびす,barbarian
塙,N1,"kaku
kou カク
コウ","hanawa
kata(i) はなわ
かた(い)",projecting tableland or mountain
冴,N1,"go
ko ゴ
コ","sa(eru)
koo(ru)
hi(eru) さ(える)
こお(る)
ひ(える)","be clear, serene, cold, skilful"
旺,N1,"ou
kyou
gou オウ
キョウ
ゴウ","kagaya(ki)
utsukushi(i)
sakan かがや(き)
うつくし(い)
さかん","flourishing, successful, beautiful, vigorous"
葦,N1,i イ,"ashi
yoshi
shio(reru)
shina(biru)
shibo(mu)
na(eru) あし
よし
しお(れる)
しな(びる)
しぼ(む)
な(える)","reed, bullrush"
礒,N1,"gi
ga ギ
ガ","iso
iwao いそ
いわお","rock, beach, shore"
咸,N1,"kan
gen カン
ゲン",,"all, same"
萌,N1,hou ホウ,"mo(eru)
kiza(su)
mebae も(える)
きざ(す)
めばえ","show symptoms of, sprout, bud, malt"
饗,N1,kyou キョウ,"u(keru)
motena(su) う(ける)
もてな(す)",banquet
歪,N1,"wai
e ワイ
エ","iga(mu)
ibitsu
hizu(mu)
yuga(mu) いが(む)
いびつ
ひず(む)
ゆが(む)","warp, bend, strained, distort"
冥,N1,"mei
myou メイ
ミョウ",kura(i) くら(い),dark
偲,N1,"sai
shi サイ
シ",shino(bu) しの(ぶ),"recollect, remember"
壱,N1,"ichi
itsu イチ
イツ",hitotsu ひとつ,one (in documents)
瑠,N1,"ru
ryuu ル
リュウ",,lapis lazuli
韮,N1,"kyuu
ku キュウ
ク",nira にら,leek
漕,N1,sou ソウ,"ko(gu)
hako(bu) こ(ぐ)
はこ(ぶ)","rowing, scull, paddle"
杵,N1,"sho
so ショ
ソ",kine きね,wooden pestle
薔,N1,"ba
shou
shoku
sou バ
ショウ
ショク
ソウ",mizutade みずたで,water pepper
膠,N1,"kou
kyou コウ
キョウ","nikawa
nibe にかわ
にべ","glue, isinglass"
允,N1,in イン,"jou
makoto(ni)
yurusu じょう
まこと(に)
ゆるす","license, sincerity, permit"
眞,N1,shin シン,"ma
makoto ま
まこと","truth, reality, Buddhist sect"
蒙,N1,"mou
bou モウ
ボウ","koumu(ru)
oo(u)
kura(i) こうむ(る)
おお(う)
くら(い)","ignorance, darkness, get, receive, be subjected to, sustain, Mongolia"
蕃,N1,"ban
han バン
ハン",,grow luxuriously
呑,N1,"ton
don トン
ドン",no(mu) の(む),drink
侯,N1,kou コウ,,"marquis, lord, daimyo"
碓,N1,"kaku
tai カク
タイ","tashi(ka)
kaku(taru) たし(か)
かく(たる)",pestle
茗,N1,"myou
mei ミョウ
メイ",cha ちゃ,tea
麓,N1,roku ロク,fumoto ふもと,foot of a mountain
瀕,N1,hin ヒン,hotori ほとり,"shore, brink, verge"
蒔,N1,"shi
ji シ
ジ","u(eru)
ma(ku) う(える)
ま(く)",sow (seeds)
鯉,N1,ri リ,koi こい,carp
竪,N1,ju ジュ,"tate
ta(teru)
kodomo たて
た(てる)
こども","length, height, warp"
弧,N1,ko コ,,"arc, arch, bow"
稽,N1,kei ケイ,"kanga(eru)
todo(meru) かんが(える)
とど(める)","think, consider"
瘤,N1,"ryuu
ru リュウ
ル",kobu こぶ,"lump, swelling"
澤,N1,taku タク,"sawa
uruo(i)
uruo(su)
tsuya さわ
うるお(い)
うるお(す)
つや",swamp
溥,N1,"fu
haku フ
ハク",amaneshi あまねし,far and wide
遥,N1,you ヨウ,haru(ka) はる(か),"far off, distant, long ago"
蹴,N1,"shuku
shuu シュク
シュウ",ke(ru) け(る),kick
或,N1,"waku
koku
iki ワク
コク
イキ","a(ru)
arui
aruiwa あ(る)
あるい
あるいは","some, one, or, possibly, a certain"
訃,N1,fu フ,shirase しらせ,obituary
矩,N1,ku ク,"kane
kanezashi
sashigane かね
かねざし
さしがね","ruler, carpenter's square"
厦,N1,"ka
sa カ
サ",ie いえ,house
冤,N1,en エン,,"false charge, hatred"
剥,N1,"haku
hoku ハク
ホク","he(gu)
mu(ku)
ha(gareru) へ(ぐ)
む(く)
は(がれる)","come off, peel, fade, discolor"
舜,N1,shun シュン,,"type of morning glory, rose of Sharon, althea"
侠,N1,kyou キョウ,"kyan
otokodate きゃん
おとこだて","tomboy, chivalry"
贅,N1,"zei
sei ゼイ
セイ",ibo いぼ,luxury
杖,N1,jou ジョウ,tsue つえ,"staff, cane"
蓋,N1,"gai
kai
kou ガイ
カイ
コウ","futa
keda(shi)
oo(u)
kasa
kakou ふた
けだ(し)
おお(う)
かさ
かこう","cover, lid, flap"
畏,N1,i イ,"oso(reru)
kashikoma(ru)
kashiko
kashiko(shi) おそ(れる)
かしこま(る)
かしこ
かしこ(し)","fear, majestic, graciously, be apprehensive"
喉,N1,kou コウ,nodo のど,"throat, voice"
汪,N1,ou オウ,,"flowing full, expanse of water, wide, deep"
猷,N1,"yuu
you ユウ
ヨウ","hakarigoto
haka(ru) はかりごと
はか(る)","plan, scheme, plot, way"
瑛,N1,ei エイ,,"sparkle of jewelry, crystal"
搜,N1,"sou
shu
shuu ソウ
シュ
シュウ",saga(su) さが(す),"search, seek, investigate"
曼,N1,"man
ban マン
バン",naga(i) なが(い),"wide, beautiful"
附,N1,fu フ,"tsu(keru)
tsu(ku) つ(ける)
つ(く)","affixed, attach, refer to, append"
彪,N1,"hyou
hyuu ヒョウ
ヒュウ",aya あや,"spotted, mottled, patterned, small tiger"
撚,N1,nen ネン,"yo(ru)
yo(reru)
yori
hine(ru) よ(る)
よ(れる)
より
ひね(る)","twist, twine, kinky"
噛,N1,"kou
gou コウ
ゴウ","ka(mu)
ka(jiru) か(む)
か(じる)","chew, bite, gnaw"
卯,N1,"bou
mou ボウ
モウ",u う,"sign of the hare or rabbit, fourth sign of Chinese zodiac, 5-7AM, east"
桝,N1,,masu ます,"measuring box, (kokuji)"
撫,N1,"bu
fu ブ
フ",na(deru) な(でる),"stroke, pat, smooth down"
喋,N1,"chou
tou チョウ
トウ","shabe(ru)
tsuiba(mu) しゃべ(る)
ついば(む)","talk, chat, chatter"
但,N1,tan タン,tada(shi) ただ(し),"however, but"
溢,N1,itsu イツ,"kobo(reru)
afu(reru)
mi(chiru) こぼ(れる)
あふ(れる)
み(ちる)","overflow, inundate, spill"
闊,N1,katsu カツ,hiro(i) ひろ(い),wide
藏,N1,"zou
sou ゾウ
ソウ","kura
osa(meru)
kaku(reru) くら
おさ(める)
かく(れる)","hide, own, have, possess"
浙,N1,setsu セツ,,name of a Chinese river
彭,N1,hou ホウ,,"swelling, sound of drum"
淘,N1,tou トウ,yona(geru) よな(げる),select
剃,N1,tei テイ,"mai
so(ru)
su(ru) まい
そ(る)
す(る)",shave
揃,N1,sen セン,"soro(eru)
ki(ru) そろ(える)
き(る)","be complete, uniform, all present"
綺,N1,ki キ,aya あや,"figured cloth, beautiful"
徘,N1,hai ハイ,samayo(u) さまよ(う),wander
巷,N1,kou コウ,chimata ちまた,"fork in road, scene, arena, theater"
竿,N1,kan カン,sao さお,"pole, rod, scale beam, violin neck"
蟹,N1,kai カイ,kani かに,crab
芋,N1,u ウ,imo いも,potato
袁,N1,"en
on エン
オン",,long kimono
舩,N1,sen セン,"fune
funa- ふね
ふな-","boat, ship, vessel"
拭,N1,"shoku
shiki ショク
シキ","nugu(u)
fu(ku) ぬぐ(う)
ふ(く)","wipe, mop, swab"
茜,N1,sen セン,akane あかね,"madder, red dye, Turkey red"
凌,N1,ryou リョウ,shino(gu) しの(ぐ),"endure, keep (rain)out, stave off, tide over, defy, slight, surpass"
頬,N1,kyou キョウ,"hoo
hoho ほお
ほほ","cheeks, jaw"
厨,N1,"shuu
zu
chu
chuu シュウ
ズ
チュ
チュウ",kuriya くりや,kitchen
犀,N1,"sai
sei サイ
セイ",,rhinoceros
簑,N1,"sa
sai サ
サイ",mino みの,a coat raincoat
皓,N1,kou コウ,"shiro(i)
hika(ru) しろ(い)
ひか(る)","white, clear"
甦,N1,"so
kou ソ
コウ",yomigae(ru) よみがえ(る),"be resuscitated, revived"
洸,N1,kou コウ,,sparkling water
毬,N1,kyuu キュウ,"iga
mari いが
まり","burr, ball"
檄,N1,keki ケキ,"geki(suru)
furebumi げき(する)
ふれぶみ","written appeal, manifesto"
姚,N1,"you
chou ヨウ
チョウ",utsuku(shii) うつく(しい),beautiful
蛭,N1,"shitsu
chitsu シツ
チツ",hiru ひる,leech
婆,N1,ba バ,"baba
baa ばば
ばあ","old woman, grandma, wet nurse"
叢,N1,"sou
su ソウ
ス","kusamura
mura(garu)
mura くさむら
むら(がる)
むら","plexus, clump of bushes, thicket"
椙,N1,,sugi すぎ,"Japanese cedar, cryptomeria, (kokuji)"
轟,N1,"gou
kou ゴウ
コウ","todoro(kasu)
todoro(ku) とどろ(かす)
とどろ(く)","roar, thunder, boom resound"
贋,N1,gan ガン,nise にせ,"counterfeit, forgery"
洒,N1,"sha
son
sai
sen
sei シャ
ソン
サイ
セン
セイ","susu(gu)
ara(u) すす(ぐ)
あら(う)","wash, sprinkle"
貰,N1,"sei
sha セイ
シャ",mora(u) もら(う),"get, have, obtain"
儲,N1,cho チョ,"mou(keru)
mou(karu)
mouke
takuwa(eru) もう(ける)
もう(かる)
もうけ
たくわ(える)","be profitable, yield profit"
緋,N1,hi ヒ,"ake
aka あけ
あか","scarlet, cardinal"
諜,N1,chou チョウ,"chou(zuru)
ukaga(u)
shime(su) ちょう(ずる)
うかが(う)
しめ(す)","spy out, reconnoiter"
鯛,N1,chou チョウ,tai たい,"sea bream, red snapper"
蓼,N1,"shin
riku
ryou シン
リク
リョウ",tade たで,"luxurious grass, a smartweed"
甕,N1,ou オウ,"kame
mika かめ
みか","jar, jug, vat"
喘,N1,"zen
sen ゼン
セン","ae(gu)
seki あえ(ぐ)
せき","pant, gasp, breathe hard"
怜,N1,"rei
ren
ryou レイ
レン
リョウ","awa(remu)
sato(i) あわ(れむ)
さと(い)",wise
溜,N1,ryuu リュウ,"ta(maru)
tama(ru)
shitata(ru) た(まる)
たま(る)
したた(る)","collect, gather, be in arrears"
邑,N1,yuu ユウ,mura むら,"village, rural community, right village radical (no. 163)"
鉾,N1,"bou
mu ボウ
ム",hoko ほこ,"halberd, arms, festival float"
倣,N1,hou ホウ,nara(u) なら(う),"emulate, imitate"
碧,N1,"heki
hyaku ヘキ
ヒャク",,"blue, green"
燈,N1,tou トウ,"hi
ho-
tomoshibi
tomo(su)
akari ひ
ほ-
ともしび
とも(す)
あかり","lamp, light, counter for lights"
