kanji,jlpt,onyomi,kunyomi
十,N5,ジュウ;ジッ;ジュッ,とお;と;そ
二,N5,ニ;ジ,ふた;ふた.つ;ふたたび
本,N5,ホン,もと
中,N5,チュウ,なか;うち;あた.る
出,N5,シュツ;スイ,で.る;-で;だ.す;-だ.す;い.でる;い.だす
三,N5,サン;ゾウ,み;み.つ;みっ.つ
見,N5,ケン,み.る;み.える;み.せる
月,N5,ゲツ;ガツ,つき
長,N5,チョウ,なが.い;おさ
生,N5,セイ;ショウ,い.きる;い.かす;い.ける;う.まれる;うま.れる;う.まれ;うまれ;う.む;お.う;は.える;は.やす;き;なま;なま-;な.る;な.す;む.す;-う
五,N5,ゴ,いつ;いつ.つ
時,N5,ジ,とき;-どき
上,N5,ジョウ;ショウ;シャン,うえ;-うえ;うわ-;かみ;あ.げる;-あ.げる;あ.がる;-あ.がる;あ.がり;-あ.がり;のぼ.る;のぼ.り;のぼ.せる;のぼ.す;たてまつ.る
行,N5,コウ;ギョウ;アン,い.く;ゆ.く;-ゆ.き;-ゆき;-い.き;-いき;おこな.う;おこ.なう
四,N5,シ,よ;よ.つ;よっ.つ;よん
後,N5,ゴ;コウ,のち;うし.ろ;うしろ;あと;おく.れる
金,N5,キン;コン;ゴン,かね;かな-;-がね
前,N5,ゼン,まえ;-まえ
九,N5,キュウ;ク,ここの;ここの.つ
入,N5,ニュウ;ジュ,い.る;-い.る;-い.り;い.れる;-い.れ;はい.る
学,N5,ガク,まな.ぶ
間,N5,カン;ケン,あいだ;ま;あい
円,N5,エン,まる.い;まる;まど;まど.か;まろ.やか
子,N5,シ;ス;ツ,こ;-こ;ね
東,N5,トウ,ひがし
八,N5,ハチ;ハツ,や;や.つ;やっ.つ;よう
六,N5,ロク;リク,む;む.つ;むっ.つ;むい
下,N5,カ;ゲ,した;しも;もと;さ.げる;さ.がる;くだ.る;くだ.り;くだ.す;-くだ.す;くだ.さる;お.ろす;お.りる
今,N5,コン;キン,いま
気,N5,キ;ケ,いき;き
小,N5,ショウ,ちい.さい;こ-;お-;さ-
七,N5,シチ,なな;なな.つ;なの
高,N5,コウ,たか.い;たか;-だか;たか.まる;たか.める
山,N5,サン;セン,やま
女,N5,ジョ;ニョ;ニョウ,おんな;め
外,N5,ガイ;ゲ,そと;ほか;はず.す;はず.れる;と-
百,N5,ヒャク;ビャク,もも
先,N5,セン,さき;ま.ず
名,N5,メイ;ミョウ,な;-な
川,N5,セン,かわ
千,N5,セン,ち
来,N5,ライ;タイ,く.る;きた.る;きた.す;き.たす;き.たる;き;こ
水,N5,スイ,みず;みず-
男,N5,ダン;ナン,おとこ;お
話,N5,ワ,はな.す;はなし
校,N5,コウ;キョウ,
北,N5,ホク,きた
土,N5,ド;ト,つち
午,N5,ゴ,うま
木,N5,ボク;モク,き;こ-
車,N5,シャ,くるま
書,N5,ショ,か.く;-が.き;-がき
半,N5,ハン,なか.ば
白,N5,ハク;ビャク,しろ;しら-;しろ.い
天,N5,テン,あまつ;あめ;あま-
西,N5,セイ;サイ;ス,にし
電,N5,デン,
火,N5,カ,ひ;-び;ほ-
右,N5,ウ;ユウ,みぎ
語,N5,ゴ,かた.る;かた.らう
左,N5,サ;シャ,ひだり
聞,N5,ブン;モン,き.く;き.こえる
休,N5,キュウ,やす.む;やす.まる;やす.める
食,N5,ショク;ジキ,く.う;く.らう;た.べる;は.む
何,N5,カ,なに;なん;なに-;なん-
南,N5,ナン;ナ,みなみ
万,N5,マン;バン,よろず
毎,N5,マイ,ごと;-ごと.に
雨,N5,ウ,あめ;あま-;-さめ
母,N5,ボ,はは;も
読,N5,ドク;トク;トウ,よ.む;-よ.み
友,N5,ユウ,とも
父,N5,フ,ちち
