ID,Kanji JLPT,Level JLPT,Kanji Kanken,Level Kanken
291,考,N4,考,Cấp 9
292,正,N4,正,Cấp 10
293,丸,N4,丸,Cấp 9
294,不,N4,不,Cấp 7
295,同,N4,同,Cấp 9
296,貸,N4,貸,Cấp 6
297,借,N4,借,Cấp 7
298,返,N4,返,Cấp 8
299,冊,N4,冊,Cấp 5
300,歴,N4,歴,Cấp 6
301,史,N4,史,Cấp 6
302,図,N4,図,Cấp 9
303,運,N4,運,Cấp 8
304,動,N4,動,Cấp 8
305,練,N4,練,Cấp 8
306,習,N4,習,Cấp 8
307,走,N4,走,Cấp 9
308,歩,N4,歩,Cấp 9
309,泳,N4,泳,Cấp 8
310,才,N4,才,Cấp 9
311,自,N4,自,Cấp 9
312,然,N4,然,Cấp 7
313,草,N4,草,Cấp 10
314,原,N4,原,Cấp 9
315,湖,N4,湖,Cấp 8
316,谷,N4,谷,Cấp 9
317,海,N4,海,Cấp 9
318,辺,N4,辺,Cấp 7
319,里,N4,里,Cấp 9
320,野,N4,野,Cấp 9
321,緑,N4,緑,Cấp 8
322,池,N4,池,Cấp 9
323,鳥,N4,鳥,Cấp 9
324,羽,N4,羽,Cấp 9
325,馬,N4,馬,Cấp 9
326,鳴,N4,鳴,Cấp 9
327,起,N3,起,Cấp 8
328,寝,N3,寝,Cấp 4
329,浴,N3,浴,Cấp 7
330,湯,N3,湯,Cấp 8
331,洗,N3,洗,Cấp 5
332,濯,N3,濯,Tiền cấp 2
333,干,N3,干,Cấp 5
334,活,N3,活,Cấp 9
335,拾,N3,拾,Cấp 8
336,捨,N3,捨,Cấp 5
337,燃,N3,燃,Cấp 6
338,袋,N3,袋,Cấp 3
339,曜,N3,曜,Cấp 9
340,末,N3,末,Cấp 7
341,昨,N3,昨,Cấp 7
342,翌,N3,翌,Cấp 5
343,予,N3,予,Cấp 8
344,定,N3,定,Cấp 8
345,用,N3,用,Cấp 9
346,事,N3,事,Cấp 8
347,熱,N3,熱,Cấp 7
348,冷,N3,冷,Cấp 7
349,温,N3,温,Cấp 8
350,度,N3,度,Cấp 8
351,材,N3,材,Cấp 7
352,型,N3,型,Cấp 6
353,焼,N3,焼,Cấp 7
354,器,N3,器,Cấp 7
355,卵,N3,卵,Cấp 5
356,乳,N3,乳,Cấp 5
357,粉,N3,粉,Cấp 6
358,塩,N3,塩,Cấp 7
359,菜,N3,菜,Cấp 7
360,果,N3,果,Cấp 7
361,豆,N3,豆,Cấp 8
362,缶,N3,缶,Tiền cấp 2
363,杯,N3,杯,Cấp 4
364,枚,N3,枚,Cấp 5
365,匹,N3,匹,Cấp 4
366,量,N3,量,Cấp 7
367,頭,N3,頭,Cấp 9
368,顔,N3,顔,Cấp 9
369,首,N3,首,Cấp 9
370,鼻,N3,鼻,Cấp 8
371,呼 ,N3,呼,Cấp 5
372,吸 ,N3,吸,Cấp 5
373,息 ,N3,息,Cấp 8
374,汗,N3,汗,Cấp 4
375,検 ,N3,検,Cấp 6
376,査 ,N3,査,Cấp 6
377,歯 ,N3,歯,Cấp 8
378,痛,N3,痛,Cấp 5
379,血 ,N3,血,Cấp 8
380,液 ,N3,液,Cấp 6
381,包 ,N3,包,Cấp 7
382,帯,N3,帯,Cấp 7
383,救 ,N3,救,Cấp 6
384,助 ,N3,助,Cấp 8
385,死 ,N3,死,Cấp 8
386,亡,N3,亡,Cấp 5
387,角 ,N3,角,Cấp 9
388,曲 ,N3,曲,Cấp 8
389,折,N3,折,Cấp 7
